time,open_bid,high_bid,low_bid,close_bid,open_ask,high_ask,low_ask,close_ask
2021-06-29 09 AM,1.38358,1.38639,1.38349,1.38530,1.38376,1.38658,1.38366,1.38547
2021-06-29 10 AM,1.38533,1.38608,1.38370,1.38399,1.38549,1.38627,1.38387,1.38415
2021-06-29 11 AM,1.38401,1.38419,1.38210,1.38264,1.38418,1.38436,1.38225,1.38278
2021-06-29 12 PM,1.38265,1.38349,1.38132,1.38229,1.38281,1.38364,1.38149,1.38247
2021-06-29 01 PM,1.38226,1.38429,1.38198,1.38331,1.38245,1.38446,1.38217,1.38355
2021-06-29 02 PM,1.38334,1.38385,1.38147,1.38328,1.38357,1.38401,1.38162,1.38345
2021-06-29 03 PM,1.38331,1.38479,1.38311,1.38438,1.38347,1.38498,1.38329,1.38456
2021-06-29 04 PM,1.38436,1.38515,1.38397,1.38404,1.38453,1.38531,1.38412,1.38421
2021-06-29 05 PM,1.38401,1.38456,1.38362,1.38451,1.38417,1.38473,1.38382,1.38468
2021-06-29 06 PM,1.38454,1.38516,1.38449,1.38492,1.38470,1.38532,1.38466,1.38510
2021-06-29 07 PM,1.38497,1.38526,1.38414,1.38497,1.38510,1.38542,1.38430,1.38513
2021-06-29 08 PM,1.38495,1.38507,1.38323,1.38373,1.38511,1.38525,1.38383,1.38433
2021-06-29 09 PM,1.38365,1.38426,1.38360,1.38378,1.38425,1.38486,1.38420,1.38438
2021-06-29 10 PM,1.38397,1.38435,1.38379,1.38420,1.38457,1.38480,1.38414,1.38448
2021-06-29 11 PM,1.38419,1.38423,1.38373,1.38391,1.38441,1.38444,1.38394,1.38412
2021-06-30,1.38395,1.38539,1.38384,1.38524,1.38413,1.38557,1.38405,1.38542
2021-06-30 01 AM,1.38521,1.38601,1.38483,1.38554,1.38540,1.38616,1.38502,1.38576
2021-06-30 02 AM,1.38555,1.38599,1.38514,1.38526,1.38581,1.38616,1.38532,1.38544
2021-06-30 03 AM,1.38523,1.38531,1.38425,1.38515,1.38542,1.38548,1.38446,1.38537
2021-06-30 04 AM,1.38514,1.38555,1.38468,1.38481,1.38534,1.38575,1.38488,1.38502
2021-06-30 05 AM,1.38479,1.38553,1.38450,1.38456,1.38499,1.38572,1.38472,1.38480
2021-06-30 06 AM,1.38450,1.38524,1.38374,1.38384,1.38474,1.38542,1.38390,1.38403
2021-06-30 07 AM,1.38381,1.38388,1.38185,1.38310,1.38399,1.38407,1.38204,1.38326
2021-06-30 08 AM,1.38306,1.38426,1.38141,1.38339,1.38324,1.38444,1.38159,1.38355
2021-06-30 09 AM,1.38336,1.38570,1.38304,1.38560,1.38353,1.38588,1.38320,1.38574
2021-06-30 10 AM,1.38562,1.38722,1.38466,1.38611,1.38577,1.38741,1.38486,1.38624
2021-06-30 11 AM,1.38606,1.38698,1.38567,1.38668,1.38624,1.38713,1.38582,1.38684
2021-06-30 12 PM,1.38665,1.38665,1.38350,1.38421,1.38681,1.38681,1.38367,1.38437
2021-06-30 01 PM,1.38419,1.38441,1.38161,1.38391,1.38434,1.38457,1.38177,1.38407
2021-06-30 02 PM,1.38392,1.38399,1.38083,1.38144,1.38410,1.38415,1.38099,1.38160
2021-06-30 03 PM,1.38146,1.38225,1.38040,1.38048,1.38164,1.38243,1.38055,1.38061
